propertyna,latitude,longitude,borough
Flushing Fields,40.774971,-73.817045,Queens
Wolfe's Pond Park,40.518972,-74.187552,Staten Island
Marcy Playground,40.695665,-73.949727,Brooklyn
Jackson Square,40.738859,-74.003048,Manhattan
Tompkins Square Park,40.726389,-73.980986,Manhattan
Randall's Island Park,40.792949,-73.918751,Manhattan
Ehrenreich-Austin Playground,40.715449,-73.836826,Queens
Milestone Park,40.609533,-73.999523,Brooklyn
St. Mary's Park,40.811468,-73.914103,Bronx
Shore Park and Parkway,40.611941,-74.03558,Brooklyn
Estella Diggs Park,40.829068,-73.906467,Bronx
Colonel David Marcus Playground,40.610272,-73.968359,Brooklyn
Central Park,40.770004,-73.972596,Manhattan
Fountain Of Youth Playground,40.813693,-73.905266,Bronx
Henry M. Jackson Playground,40.714123,-73.981042,Manhattan
Brookfield Park,40.561886,-74.160949,Staten Island
Constance Baker Motley Recreation Center,40.756481,-73.96513,Manhattan
Kolbert Playground,40.620091,-73.958296,Brooklyn
Bayview Playground,40.634553,-73.887194,Brooklyn
Baisley Pond Park,40.674181,-73.787735,Queens
Bayside Fields,40.772932,-73.784942,Queens
Riverside Park,40.781146,-73.985925,Manhattan
Morris Mesa,40.845261,-73.909559,Bronx
John V. Lindsay East River Park,40.713736,-73.975729,Manhattan
Fort Totten Park,40.794143,-73.778098,Queens
Flushing Meadows Corona Park,40.762264,-73.859267,Queens
Flushing Meadows Corona Park,40.74125,-73.848883,Queens
Hines Park,40.828922,-73.905373,Bronx
Gravesend Park,40.623501,-73.985399,Brooklyn
Marine Park,40.608243,-73.93711,Brooklyn
Flushing Meadows Corona Park,40.745551,-73.844298,Queens
Simeone Park,40.740804,-73.85956,Queens
Highbridge Park,40.843458,-73.933023,Manhattan
Fisher Pool,40.758451,-73.869459,Queens
Electric Playground,40.736231,-73.805207,Queens
Shore Park and Parkway,40.632574,-74.038987,Brooklyn
Crotona Park,40.840503,-73.897757,Bronx
Prospect Park,40.660498,-73.963555,Brooklyn
Flushing Meadows Corona Park,40.744599,-73.839999,Queens
Bronx Park,40.847141,-73.870393,Bronx
Prospect Park,40.665555,-73.974951,Brooklyn
Franklin D. Roosevelt Boardwalk and Beach,40.578083,-74.077593,Staten Island
Bleecker Playground,40.736352,-74.005614,Manhattan
St. John's Park,40.6737,-73.933882,Brooklyn
Frank Principe Park,40.727333,-73.904654,Queens
Central Park,40.792974,-73.954133,Manhattan
Carl Schurz Park,40.773548,-73.944992,Manhattan
De Witt Clinton Park,40.768521,-73.993684,Manhattan
McCarren Park,40.720933,-73.95011,Brooklyn
Prospect Park,40.66556,-73.971572,Brooklyn
Bailey Playground,40.881658,-73.900125,Bronx
Bayswater Park,40.599872,-73.767563,Queens
Pelham Bay Park,40.84833,-73.824405,Bronx
Coney Island Beach & Boardwalk,40.572407,-73.986723,Brooklyn
