neighborhood_tabulation_area_nta,latitude,longitude,boro
East Flatbush-Farragut,40.651047,-73.943969,Brooklyn
Washington Heights South,40.832731,-73.942266,Manhattan
New Dorp-Midland Beach,40.571782,-74.108614,Staten Island
Woodhaven,40.691734,-73.865015,Queens
Washington Heights South,40.842337,-73.939377,Manhattan
Washington Heights North,40.851831,-73.931773,Manhattan
Kew Gardens,40.713167,-73.829809,Queens
Upper East Side-Carnegie Hill,40.770517,-73.966604,Manhattan
Washington Heights South,40.836081,-73.943186,Manhattan
Lenox Hill-Roosevelt Island,40.761267,-73.96062,Manhattan
Melrose South-Mott Haven North,40.818769,-73.91645,Bronx
Mount Hope,40.85207,-73.8984,Bronx
Astoria,40.760095,-73.921216,Queens
Hamilton Heights,40.827305,-73.946226,Manhattan
Melrose South-Mott Haven North,40.81886,-73.914242,Bronx
Far Rockaway-Bayswater,40.6089,-73.74989,Queens
Chinatown,40.717095,-73.990581,Manhattan
Lenox Hill-Roosevelt Island,40.764654,-73.964076,Manhattan
Flatlands,40.61901,-73.91621,Brooklyn
Central Harlem North-Polo Grounds,40.821828,-73.939286,Manhattan
Jamaica,40.703452,-73.800352,Queens
Mount Hope,40.846169,-73.901951,Bronx
Hunters Point-Sunnyside-West Maspeth,40.744716,-73.915472,Queens
Jamaica,40.695963,-73.804551,Queens
North Side-South Side,40.716431,-73.961287,Brooklyn
Richmond Hill,40.700926,-73.826205,Queens
Central Harlem South,40.805792,-73.954263,Manhattan
Lincoln Square,40.776238,-73.982338,Manhattan
Astoria,40.766894,-73.921546,Queens
Lincoln Square,40.769839,-73.982502,Manhattan
Washington Heights South,40.834974,-73.945436,Manhattan
Manhattanville,40.8158,-73.954364,Manhattan
Greenpoint,40.734684,-73.955096,Brooklyn
Upper West Side,40.785774,-73.972463,Manhattan
Forest Hills,40.726082,-73.852197,Queens
Clinton,40.766963,-73.982853,Manhattan
Erasmus,40.650029,-73.958502,Brooklyn
East Concourse-Concourse Village,40.825605,-73.918258,Bronx
Washington Heights South,40.834815,-73.940477,Manhattan
North Side-South Side,40.711666,-73.951026,Brooklyn
Murray Hill-Kips Bay,40.742069,-73.977694,Manhattan
Hamilton Heights,40.82609,-73.950482,Manhattan
Clinton,40.762431,-73.986156,Manhattan
Morningside Heights,40.80069,-73.961946,Manhattan
East Williamsburg,40.714446,-73.945948,Brooklyn
Astoria,40.769096,-73.912837,Queens
East Village,40.730249,-73.986348,Manhattan
Woodside,40.741434,-73.907534,Queens
Hamilton Heights,40.826376,-73.950716,Manhattan
St. Albans,40.708248,-73.768953,Queens
Ocean Hill,40.678572,-73.919,Brooklyn
Sunset Park West,40.653711,-74.005258,Brooklyn
Hunters Point-Sunnyside-West Maspeth,40.743877,-73.926926,Queens
Washington Heights North,40.851561,-73.934903,Manhattan
Upper West Side,40.785613,-73.978439,Manhattan
Clinton,40.765159,-73.991312,Manhattan
Midtown-Midtown South,40.757407,-73.978258,Manhattan
Hunts Point,40.819328,-73.88947,Bronx
SoHo-TriBeCa-Civic Center-Little Italy,40.717482,-74.001519,Manhattan
Elmhurst,40.743563,-73.883789,Queens
Bedford,40.680273,-73.946155,Brooklyn
Richmond Hill,40.700864,-73.826551,Queens
Upper East Side-Carnegie Hill,40.770545,-73.960254,Manhattan
Elmhurst,40.734923,-73.87546,Queens
Upper West Side,40.800476,-73.968186,Manhattan
Jackson Heights,40.76429,-73.89483,Queens
East Village,40.728027,-73.987965,Manhattan
Lenox Hill-Roosevelt Island,40.765902,-73.96318,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.753642,-73.992563,Manhattan
Gramercy,40.74031,-73.984279,Manhattan
Central Harlem North-Polo Grounds,40.817381,-73.942525,Manhattan
Turtle Bay-East Midtown,40.749341,-73.975186,Manhattan
Clinton,40.754881,-73.991662,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.743493,-73.985972,Manhattan
Midtown-Midtown South,40.763978,-73.982629,Manhattan
Bushwick South,40.699073,-73.934201,Brooklyn
Mott Haven-Port Morris,40.806287,-73.917955,Bronx
Jackson Heights,40.748708,-73.874393,Queens
Upper East Side-Carnegie Hill,40.782159,-73.951699,Manhattan
Upper West Side,40.795774,-73.970752,Manhattan
East New York,40.6565792,-73.8947434,Brooklyn
East Harlem South,40.794273,-73.942859,Manhattan
Hamilton Heights,40.825947,-73.946953,Manhattan
Jackson Heights,40.749606,-73.885072,Queens
Murray Hill-Kips Bay,40.741593,-73.978363,Manhattan
Longwood,40.82089,-73.894041,Bronx
Upper West Side,40.786335,-73.972055,Manhattan
Stapleton-Rosebank,40.612088,-74.070849,Staten Island
Flushing,40.763832,-73.827919,Queens
Sunset Park West,40.656384,-74.002053,Brooklyn
Hamilton Heights,40.823122,-73.949014,Manhattan
Murray Hill-Kips Bay,40.743494,-73.979907,Manhattan
Upper West Side,40.795005,-73.96981,Manhattan
Murray Hill-Kips Bay,40.745116,-73.978416,Manhattan
West Village,40.733892,-73.991056,Manhattan
Norwood,40.872581,-73.878085,Bronx
Carroll Gardens-Columbia Street-Red Hook,40.68539,-73.994526,Brooklyn
Central Harlem North-Polo Grounds,40.811973,-73.945917,Manhattan
Richmond Hill,40.6989,-73.833834,Queens
Midtown-Midtown South,40.764875,-73.980731,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.742322,-73.985381,Manhattan
East Village,40.72358,-73.98839,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.747793,-73.950086,Queens
Clinton,40.765277,-73.991493,Manhattan
Gramercy,40.741323,-73.985385,Manhattan
Forest Hills,40.71796,-73.836805,Queens
Yorkville,40.77703,-73.955138,Manhattan
Glen Oaks-Floral Park-New Hyde Park,40.737472,-73.7081442,Queens
Turtle Bay-East Midtown,40.757113,-73.970088,Manhattan
Central Harlem South,40.804047,-73.95214,Manhattan
Sunset Park West,40.659902,-73.998822,Brooklyn
East Williamsburg,40.704496,-73.942989,Brooklyn
Upper West Side,40.795171,-73.971048,Manhattan
Upper West Side,40.796533,-73.968682,Manhattan
Carroll Gardens-Columbia Street-Red Hook,40.67476,-74.01584,Brooklyn
Lenox Hill-Roosevelt Island,40.765193,-73.958062,Manhattan
Astoria,40.766766,-73.921276,Queens
Mount Hope,40.850709,-73.907732,Bronx
Gramercy,40.734148,-73.98874,Manhattan
Forest Hills,40.727095,-73.854789,Queens
Hamilton Heights,40.82096,-73.950863,Manhattan
North Side-South Side,40.719067,-73.962765,Brooklyn
Washington Heights South,40.834722,-73.944176,Manhattan
Turtle Bay-East Midtown,40.754991,-73.96519,Manhattan
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.689408,-73.988729,Brooklyn
East Village,40.725291,-73.986842,Manhattan
Yorkville,40.777561,-73.954752,Manhattan
East Harlem South,40.792297,-73.943988,Manhattan
Gramercy,40.734473,-73.986175,Manhattan
Brownsville,40.667012,-73.911924,Brooklyn
Midtown-Midtown South,40.751274,-73.991069,Manhattan
Queensbridge-Ravenswood-Long Island City,40.751149,-73.934943,Queens
Upper East Side-Carnegie Hill,40.763742,-73.971424,Manhattan
Murray Hill-Kips Bay,40.752545,-73.979585,Manhattan
Fordham South,40.861655,-73.898581,Bronx
Upper West Side,40.800504,-73.966107,Manhattan
Melrose South-Mott Haven North,40.816188,-73.909917,Bronx
Richmond Hill,40.695221,-73.841187,Queens
Park Slope-Gowanus,40.665618,-73.989159,Brooklyn
East Harlem North,40.79636,-73.938107,Manhattan
Prospect Lefferts Gardens-Wingate,40.660852,-73.960581,Brooklyn
Jamaica,40.70693,-73.80223,Queens
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,40.587385,-74.103708,Staten Island
Washington Heights North,40.854358,-73.92992,Manhattan
East Flatbush-Farragut,40.65159,-73.932187,Brooklyn
Hunters Point-Sunnyside-West Maspeth,40.743184,-73.951617,Queens
East Tremont,40.84619,-73.892194,Bronx
Jackson Heights,40.749292,-73.889197,Queens
Central Harlem South,40.8034,-73.956003,Manhattan
North Side-South Side,40.707581,-73.955316,Brooklyn
Melrose South-Mott Haven North,40.81856,-73.9143,Bronx
Lenox Hill-Roosevelt Island,40.761993,-73.959998,Manhattan
Jamaica,40.705143,-73.795897,Queens
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.687497,-73.990023,Brooklyn
Elmhurst,40.746046,-73.890121,Queens
Hunters Point-Sunnyside-West Maspeth,40.744151,-73.929829,Queens
Gramercy,40.740092,-73.983925,Manhattan
Erasmus,40.648689,-73.955962,Brooklyn
Upper West Side,40.792534,-73.973125,Manhattan
Elmhurst-Maspeth,40.738208,-73.886253,Queens
East Williamsburg,40.71413,-73.950283,Brooklyn
New Dorp-Midland Beach,40.57262,-74.113383,Staten Island
Westerleigh,40.612231,-74.130126,Staten Island
South Ozone Park,40.6676197,-73.8071848,Queens
Prospect Heights,40.68065,-73.974375,Brooklyn
Manhattanville,40.818023,-73.956374,Manhattan
Glen Oaks-Floral Park-New Hyde Park,40.7406346,-73.7133861,Queens
Manhattanville,40.818371,-73.952755,Manhattan
Norwood,40.875742,-73.879654,Bronx
Turtle Bay-East Midtown,40.752343,-73.970524,Manhattan
Jamaica,40.707831,-73.785914,Queens
Battery Park City-Lower Manhattan,40.703311,-74.009985,Manhattan
Park Slope-Gowanus,40.679501,-73.978465,Brooklyn
Hamilton Heights,40.829809,-73.948201,Manhattan
Yorkville,40.7786,-73.95399,Manhattan
Midtown-Midtown South,40.743962,-73.985428,Manhattan
Marble Hill-Inwood,40.868141,-73.919267,Manhattan
